Network switch 8 port || S1:IT, Networks, Automation & Instrumentation > Networking Hardware > Network switch (43.63) || S2: >  (use=False) || Final:IT, Networks, Automation & Instrumentation>Networking Hardware>Network switch [Manual-Low]
Plasic dustbin 50 L || S1:Janitorial & Cleaning > Cleaning Consumables > Plasic dustbin 50 L (51.4) || S2: >  (use=False) || Final:Janitorial & Cleaning>Cleaning Consumables>Plasic dustbin 50 L [Ambiguous]
Bench vice  inch || S1:Tools & Hardware > Workshop Equipment > Bench vise (36.65) || S2: >  (use=False) || Final:Tools & Hardware>Workshop Equipment>Bench vise [Manual-Low]
Pneumatic tuing 8 mm || S1:General Industrial > General Consumables > Pneumatic tuing 8 mm (55.68) || S2: >  (use=False) || Final:General Industrial>General Consumables>Pneumatic tuing 8 mm [Ambiguous]
Toner cartridge HP tyep || S1:Office, Breakroom & Facility Supplies > Printing & Copier Supplies > Laser printer toner cartridge (56.44) || S2: >  (use=False) || Final:Office, Breakroom & Facility Supplies>Printing & Copier Supplies>Laser printer toner cartridge [Ambiguous]
O-ring rubber 25 mm || S1:General Industrial > General Consumables > O-ring rubber 25 mm (57.16) || S2: >  (use=False) || Final:General Industrial>General Consumables>O-ring rubber 25 mm [Ambiguous]
Wet floor cleanin gmop || S1:Janitorial & Cleaning > Cleaning Consumables > Wet floor cleanin gmop (52.74) || S2: >  (use=False) || Final:Janitorial & Cleaning>Cleaning Consumables>Wet floor cleanin gmop [Ambiguous]
4 drawer filing cabinet || S1:Office & Stationery > Office Supplies > 4 drawer filing cabinet (64.01) || S2: >  (use=False) || Final:Office & Stationery>Office Supplies>4 drawer filing cabinet [Ambiguous]
Ultrasonic level transmitter || S1:IT, Networks, Automation & Instrumentation > Sensors & Transmitters > Ultrasonic level transmitter (69.96) || S2: >  (use=False) || Final:IT, Networks, Automation & Instrumentation>Sensors & Transmitters>Ultrasonic level transmitter [Ambiguous]
Vernier caliper 150 mm || S1:Tools & Hardware > Measuring Tools > Vernier caliper (68.44) || S2: >  (use=False) || Final:Tools & Hardware>Measuring Tools>Vernier caliper [Ambiguous]
Forklift solid tyre || S1:General Industrial > General Consumables > Forklift solid tyre (42.13) || S2: >  (use=False) || Final:General Industrial>General Consumables>Forklift solid tyre [Manual-Low]
PLC cotroller basic || S1:General Industrial > General Consumables > PLC cotroller basic (59.73) || S2: >  (use=False) || Final:General Industrial>General Consumables>PLC cotroller basic [Ambiguous]
Silicone sealantt ransparent || S1:Chemicals, Lubricants & Adhesives > Adhesives & Sealants > Silicone sealant (60.56) || S2: >  (use=False) || Final:Chemicals, Lubricants & Adhesives>Adhesives & Sealants>Silicone sealant [Ambiguous]
Platform hand trolley || S1:Tools & Hardware > Workshop Equipment > Tool trolley (52.38) || S2: >  (use=False) || Final:Tools & Hardware>Workshop Equipment>Tool trolley [Ambiguous]
Brass gate valve 1 nich || S1:Industrial Supplies & Equipment > Valves > Gate valve (54.2) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Valves>Gate valve [Ambiguous]
Forklift solid tyre || S1:General Industrial > General Consumables > Forklift solid tyre (42.13) || S2: >  (use=False) || Final:General Industrial>General Consumables>Forklift solid tyre [Manual-Low]
Silicone sealant transparent || S1:Chemicals, Lubricants & Adhesives > Adhesives & Sealants > Silicone sealant (52.08) || S2: >  (use=False) || Final:Chemicals, Lubricants & Adhesives>Adhesives & Sealants>Silicone sealant [Ambiguous]
Control transformer 230/24 V || S1:Electrical & Instrumentation > Electrical Components > Control transformer 230/24 V (51.58) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>Control transformer 230/24 V [Ambiguous]
Anaerobic thread locker || S1:Chemicals, Lubricants & Adhesives > Adhesives & Sealants > Anaerobic thread locker (63.74) || S2: >  (use=False) || Final:Chemicals, Lubricants & Adhesives>Adhesives & Sealants>Anaerobic thread locker [Ambiguous]
Hard cover nvtebook A4 || S1:Office & Stationery > Office Supplies > Hard cover notebook A4 (41.44) || S2: >  (use=False) || Final:Office & Stationery>Office Supplies>Hard cover notebook A4 [Manual-Low]
Angle grinder 4 inch || S1:Tools & Hardware > Power Tools > Angle grinder (67.48) || S2: >  (use=False) || Final:Tools & Hardware>Power Tools>Angle grinder [Ambiguous]
Copper busbar 25x5 mm || S1:General Industrial > General Consumables > Copper busbar 25x5 mm (55.3) || S2: >  (use=False) || Final:General Industrial>General Consumables>Copper busbar 25x5 mm [Ambiguous]
Reusable ear plugs || S1:Safety, PPE & Security > Eye & Hearing Protection > Disposable ear plug (55.51) || S2: >  (use=False) || Final:Safety, PPE & Security>Eye & Hearing Protection>Disposable ear plug [Ambiguous]
Platfrm hand trolley || S1:General Industrial > General Consumables > Platfrm hand trolley (57.06) || S2: >  (use=False) || Final:General Industrial>General Consumables>Platfrm hand trolley [Ambiguous]
Office work table || S1:Office, Breakroom & Facility Supplies > Office Furniture > Office workstation desk (53.01) || S2: >  (use=False) || Final:Office, Breakroom & Facility Supplies>Office Furniture>Office workstation desk [Ambiguous]
Wet floor cleaning mop || S1:Janitorial, Sanitation & Waste > Cleaning Tools & Equipment > Wet mop with handle (64.97) || S2: >  (use=False) || Final:Janitorial, Sanitation & Waste>Cleaning Tools & Equipment>Wet mop with handle [Ambiguous]
UPS 1 kVA || S1:Electrical & Power Distribution > Power Quality & Backup > Uninterruptible power supply (UPS) (59.24) || S2: >  (use=False) || Final:Electrical & Power Distribution>Power Quality & Backup>Uninterruptible power supply (UPS) [Ambiguous]
Limit switch roller lever || S1:Electrical & Instrumentation > Electrical Components > Limit switch roller lever (50.85) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>Limit switch roller lever [Ambiguous]
Stainless steel waste bin || S1:Janitorial, Sanitation & Waste > Waste Management > Plastic pedal bin (63.85) || S2: >  (use=False) || Final:Janitorial, Sanitation & Waste>Waste Management>Plastic pedal bin [Ambiguous]
Hard cover notebook A4 || S1:Office & Stationery > Office Supplies > Hard cover notebook A4 (42.05) || S2: >  (use=False) || Final:Office & Stationery>Office Supplies>Hard cover notebook A4 [Manual-Low]
lry vacuum cleaner || S1:Janitorial, Sanitation & Waste > Cleaning Machines > Dry vacuum cleaner (51.9) || S2: >  (use=False) || Final:Janitorial, Sanitation & Waste>Cleaning Machines>Dry vacuum cleaner [Ambiguous]
